colour	x	y	group	showSelectedlegendcolour	PANEL
#F8766D	70.8170731708781	1960	1	East Asia & Pacific (all income levels)	3
#F8766D	70.819512195122	1966	1	East Asia & Pacific (all income levels)	3
#F8766D	70.850243902439	1965	1	East Asia & Pacific (all income levels)	3
#F8766D	70.8692682926829	1967	1	East Asia & Pacific (all income levels)	3
#F8766D	70.8809756097561	1964	1	East Asia & Pacific (all income levels)	3
#F8766D	70.9117073170732	1963	1	East Asia & Pacific (all income levels)	3
#F8766D	70.9190243902439	1968	1	East Asia & Pacific (all income levels)	3
#F8766D	70.9424390243903	1962	1	East Asia & Pacific (all income levels)	3
#F8766D	70.9687804878049	1969	1	East Asia & Pacific (all income levels)	3
#F8766D	70.9731707317073	1961	1	East Asia & Pacific (all income levels)	3
#F8766D	71.0185365853659	1970	1	East Asia & Pacific (all income levels)	3
#F8766D	71.0682926829268	1971	1	East Asia & Pacific (all income levels)	3
#F8766D	71.4575609756098	1972	1	East Asia & Pacific (all income levels)	3
#F8766D	71.8468292682927	1973	1	East Asia & Pacific (all income levels)	3
#F8766D	72.2360975609756	1974	1	East Asia & Pacific (all income levels)	3
#F8766D	72.6253658536586	1975	1	East Asia & Pacific (all income levels)	3
#F8766D	73.0146341463415	1976	1	East Asia & Pacific (all income levels)	3
#F8766D	73.3443902439024	1977	1	East Asia & Pacific (all income levels)	3
#F8766D	73.6741463414634	1978	1	East Asia & Pacific (all income levels)	3
#F8766D	74.0039024390244	1979	1	East Asia & Pacific (all income levels)	3
#F8766D	74.3336585365854	1980	1	East Asia & Pacific (all income levels)	3
#F8766D	74.6634146341463	1981	1	East Asia & Pacific (all income levels)	3
#F8766D	74.9048780487805	1982	1	East Asia & Pacific (all income levels)	3
#F8766D	75.1463414634146	1983	1	East Asia & Pacific (all income levels)	3
#F8766D	75.3878048780488	1984	1	East Asia & Pacific (all income levels)	3
#F8766D	75.6292682926829	1985	1	East Asia & Pacific (all income levels)	3
#F8766D	75.8707317073171	1986	1	East Asia & Pacific (all income levels)	3
#F8766D	76.1517073170732	1987	1	East Asia & Pacific (all income levels)	3
#F8766D	76.4326829268293	1988	1	East Asia & Pacific (all income levels)	3
#F8766D	76.7136585365854	1989	1	East Asia & Pacific (all income levels)	3
#F8766D	76.9946341463415	1990	1	East Asia & Pacific (all income levels)	3
#F8766D	77.2756097560976	1991	1	East Asia & Pacific (all income levels)	3
#F8766D	77.3780487804878	1992	1	East Asia & Pacific (all income levels)	3
#F8766D	77.8292682926829	1995	1	East Asia & Pacific (all income levels)	3
#F8766D	77.8780487804878	1993	1	East Asia & Pacific (all income levels)	3
#F8766D	77.8780487804878	1994	1	East Asia & Pacific (all income levels)	3
#F8766D	78.0780487804878	1996	1	East Asia & Pacific (all income levels)	3
#F8766D	78.4804878048781	1997	1	East Asia & Pacific (all income levels)	3
#F8766D	78.6317073170732	1998	1	East Asia & Pacific (all income levels)	3
#F8766D	78.9317073170732	1999	1	East Asia & Pacific (all income levels)	3
#F8766D	79.2341463414634	2000	1	East Asia & Pacific (all income levels)	3
#F8766D	79.6341463414634	2001	1	East Asia & Pacific (all income levels)	3
#F8766D	79.9365853658537	2002	1	East Asia & Pacific (all income levels)	3
#F8766D	80.2390243902439	2003	1	East Asia & Pacific (all income levels)	3
#F8766D	80.490243902439	2004	1	East Asia & Pacific (all income levels)	3
#F8766D	80.8414634146341	2005	1	East Asia & Pacific (all income levels)	3
#F8766D	81.0414634146342	2006	1	East Asia & Pacific (all income levels)	3
#F8766D	81.2926829268293	2007	1	East Asia & Pacific (all income levels)	3
#F8766D	81.3951219512195	2008	1	East Asia & Pacific (all income levels)	3
#F8766D	81.5439024390244	2009	1	East Asia & Pacific (all income levels)	3
#F8766D	81.6951219512195	2010	1	East Asia & Pacific (all income levels)	3
#F8766D	81.8463414634146	2011	1	East Asia & Pacific (all income levels)	3
