colour	x	y	showSelectedlegendcolour	PANEL	fill
#00C094	51.6086829268293	6.928	Middle East & North Africa (all income levels)	1	#00C094
#A58AFF	31.1320975609756	7.7	South Asia	1	#A58AFF
#C49A00	62.2543658536585	5.951	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	65.8539512195122	4.55	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	32.9853414634146	7.316	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	65.1751463414634	3.109	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	68.5856097560976	2.69	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	70.8170731708781	3.453	East Asia & Pacific (all income levels)	1	#F8766D
#53B400	65.5693658536586	4.82	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	60.836243902439	5.571	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	60.2073658536586	4.052	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	64.4752682926829	4.333	Latin America & Caribbean (all income levels)	1	#53B400
#A58AFF	47.7585365853659	6.724	South Asia	1	#A58AFF
#C49A00	69.7019512195122	2.575	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	35.8631463414634	6.291	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	69.2475609756098	2.308	Europe & Central Asia (all income levels)	1	#C49A00
#00C094	51.7798048780488	7.09	Middle East & North Africa (all income levels)	1	#00C094
#FB61D7	41.2365365853659	6.801	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	35.5763414634146	6.282	Sub-Saharan Africa (all income levels)	1	#FB61D7
#F8766D	62.3364634146342	6.487	East Asia & Pacific (all income levels)	1	#F8766D
#53B400	42.6520487804878	6.696	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	54.4922195121951	6.21	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	63.2249268292683	4.495	Latin America & Caribbean (all income levels)	1	#53B400
#A58AFF	37.0762682926829	6.67	South Asia	1	#A58AFF
#FB61D7	50.537243902439	6.615	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	68.2738780487805	2.67	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	60.8958536585366	6.5	Latin America & Caribbean (all income levels)	1	#53B400
#00B6EB	71.1331707317073	3.811	North America	1	#00B6EB
#FB61D7	41.0180487804878	6.001	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	36.4826341463415	5.84	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	48.5835609756098	5.88	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	71.3134146341463	2.336	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	40.4241951219512	7.351	Sub-Saharan Africa (all income levels)	1	#FB61D7
#53B400	57.0162926829268	5.582	Latin America & Caribbean (all income levels)	1	#53B400
#FB61D7	41.523756097561	5.774	Sub-Saharan Africa (all income levels)	1	#FB61D7
#F8766D	43.4578780487805	5.469	East Asia & Pacific (all income levels)	1	#F8766D
#53B400	56.7129268292683	6.807	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	61.6029512195122	7.311	Latin America & Caribbean (all income levels)	1	#53B400
#53B400	63.6626585365854	4.182	Latin America & Caribbean (all income levels)	1	#53B400
#FB61D7	48.672	6.885	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	69.5906097560976	3.5	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	70.3487804878049	2.075	Europe & Central Asia (all income levels)	1	#C49A00
#C49A00	69.6202926829268	2.37	Europe & Central Asia (all income levels)	1	#C49A00
#00C094	38.536	7.816	Middle East & North Africa (all income levels)	1	#00C094
#C49A00	72.1765853658537	2.57	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	51.790756097561	7.555	Latin America & Caribbean (all income levels)	1	#53B400
#00C094	46.9853902439025	7.329	Middle East & North Africa (all income levels)	1	#00C094
#53B400	53.1200487804878	6.716	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	68.5777317073171	1.96	Europe & Central Asia (all income levels)	1	#C49A00
#00C094	45.9335609756098	6.65	Middle East & North Africa (all income levels)	1	#00C094
#FB61D7	39.1062682926829	6.899	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	69.1092682926829	2.862	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	38.4057073170732	6.881	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	68.819756097561	2.714	Europe & Central Asia (all income levels)	1	#C49A00
#F8766D	55.9504146341463	6.461	East Asia & Pacific (all income levels)	1	#F8766D
#F8766D	57.5865853658537	6.934	East Asia & Pacific (all income levels)	1	#F8766D
#C49A00	69.8682926829268	2.85	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	39.5681707317073	4.105	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	71.1268292682927	2.692	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	63.1079268292683	6.743	Latin America & Caribbean (all income levels)	1	#53B400
#C49A00	63.4277073170732	2.964	Europe & Central Asia (all income levels)	1	#C49A00
#FB61D7	45.9767073170732	6.749	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	33.5446341463415	5.573	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	32.3641219512195	6.372	Sub-Saharan Africa (all income levels)	1	#FB61D7
#FB61D7	36.7330487804878	5.505	Sub-Saharan Africa (all income levels)	1	#FB61D7
#C49A00	68.7255609756098	2.277	Europe & Central Asia (all income levels)	1	#C49A00
#53B400	45.7452926829268	6.534	Latin America & Caribbean (all income levels)	1	#53B400
#F8766D	61.2263414634146	6.052	East Asia & Pacific (all income levels)	1	#F8766D
