colour	x	y	group	showSelectedlegendcolour
#F8766D	10276477	3.453	1	East Asia & Pacific (all income levels)
#F8766D	10483000	3.54	1	East Asia & Pacific (all income levels)
#F8766D	10742000	3.442	1	East Asia & Pacific (all income levels)
#F8766D	10950000	3.332	1	East Asia & Pacific (all income levels)
#F8766D	11167000	3.146	1	East Asia & Pacific (all income levels)
#F8766D	11388000	2.977	1	East Asia & Pacific (all income levels)
#F8766D	11651000	2.881	1	East Asia & Pacific (all income levels)
#F8766D	11799000	2.848	1	East Asia & Pacific (all income levels)
#F8766D	12009000	2.888	1	East Asia & Pacific (all income levels)
#F8766D	12263000	2.886	1	East Asia & Pacific (all income levels)
#F8766D	12507000	2.859	1	East Asia & Pacific (all income levels)
#F8766D	12937000	2.961	1	East Asia & Pacific (all income levels)
#F8766D	13177000	2.744	1	East Asia & Pacific (all income levels)
#F8766D	13380000	2.491	1	East Asia & Pacific (all income levels)
#F8766D	13723000	2.397	1	East Asia & Pacific (all income levels)
#F8766D	13893000	2.148	1	East Asia & Pacific (all income levels)
#F8766D	14033000	2.06	1	East Asia & Pacific (all income levels)
#F8766D	14192000	2.007	1	East Asia & Pacific (all income levels)
#F8766D	14358000	1.949	1	East Asia & Pacific (all income levels)
#F8766D	14514000	1.907	1	East Asia & Pacific (all income levels)
#F8766D	14692000	1.891	1	East Asia & Pacific (all income levels)
#F8766D	14927000	1.935	1	East Asia & Pacific (all income levels)
#F8766D	15178000	1.929	1	East Asia & Pacific (all income levels)
#F8766D	15369000	1.924	1	East Asia & Pacific (all income levels)
#F8766D	15544000	1.84	1	East Asia & Pacific (all income levels)
#F8766D	15758000	1.923	1	East Asia & Pacific (all income levels)
#F8766D	16018400	1.868	1	East Asia & Pacific (all income levels)
#F8766D	16263900	1.845	1	East Asia & Pacific (all income levels)
#F8766D	16532200	1.831	1	East Asia & Pacific (all income levels)
#F8766D	16814400	1.838	1	East Asia & Pacific (all income levels)
#F8766D	17065100	1.902	1	East Asia & Pacific (all income levels)
#F8766D	17284000	1.849	1	East Asia & Pacific (all income levels)
#F8766D	17495000	1.888	1	East Asia & Pacific (all income levels)
#F8766D	17667000	1.859	1	East Asia & Pacific (all income levels)
#F8766D	17855000	1.842	1	East Asia & Pacific (all income levels)
#F8766D	18072000	1.822	1	East Asia & Pacific (all income levels)
#F8766D	18311000	1.796	1	East Asia & Pacific (all income levels)
#F8766D	18517000	1.778	1	East Asia & Pacific (all income levels)
#F8766D	18711000	1.762	1	East Asia & Pacific (all income levels)
#F8766D	18926000	1.755	1	East Asia & Pacific (all income levels)
#F8766D	19153000	1.756	1	East Asia & Pacific (all income levels)
#F8766D	19413000	1.739	1	East Asia & Pacific (all income levels)
#F8766D	19651400	1.756	1	East Asia & Pacific (all income levels)
#F8766D	19895400	1.748	1	East Asia & Pacific (all income levels)
#F8766D	20127400	1.768	1	East Asia & Pacific (all income levels)
#F8766D	20394800	1.807	1	East Asia & Pacific (all income levels)
#F8766D	20697900	1.883	1	East Asia & Pacific (all income levels)
#F8766D	21015900	1.931	1	East Asia & Pacific (all income levels)
#F8766D	21384400	1.933	1	East Asia & Pacific (all income levels)
#F8766D	21778800	1.857	1	East Asia & Pacific (all income levels)
#F8766D	22065300	1.87	1	East Asia & Pacific (all income levels)
#F8766D	22323900	1.87	1	East Asia & Pacific (all income levels)
#F8766D	81817	6.487	3	East Asia & Pacific (all income levels)
#F8766D	85679	6.487	3	East Asia & Pacific (all income levels)
#F8766D	89595	6.448	3	East Asia & Pacific (all income levels)
#F8766D	93641	6.36	3	East Asia & Pacific (all income levels)
#F8766D	97924	6.227	3	East Asia & Pacific (all income levels)
#F8766D	102516	6.068	3	East Asia & Pacific (all income levels)
#F8766D	107440	5.918	3	East Asia & Pacific (all income levels)
#F8766D	112670	5.804	3	East Asia & Pacific (all income levels)
#F8766D	118166	5.742	3	East Asia & Pacific (all income levels)
#F8766D	123865	5.731	3	East Asia & Pacific (all income levels)
#F8766D	129719	5.751	3	East Asia & Pacific (all income levels)
#F8766D	135707	5.771	3	East Asia & Pacific (all income levels)
#F8766D	141827	5.758	3	East Asia & Pacific (all income levels)
#F8766D	148058	5.687	3	East Asia & Pacific (all income levels)
#F8766D	154387	5.555	3	East Asia & Pacific (all income levels)
#F8766D	160791	5.365	3	East Asia & Pacific (all income levels)
#F8766D	167275	5.132	3	East Asia & Pacific (all income levels)
#F8766D	173818	4.884	3	East Asia & Pacific (all income levels)
#F8766D	180350	4.645	3	East Asia & Pacific (all income levels)
#F8766D	186778	4.429	3	East Asia & Pacific (all income levels)
#F8766D	193049	4.246	3	East Asia & Pacific (all income levels)
#F8766D	199128	4.103	3	East Asia & Pacific (all income levels)
#F8766D	205053	3.992	3	East Asia & Pacific (all income levels)
#F8766D	210925	3.906	3	East Asia & Pacific (all income levels)
#F8766D	216885	3.843	3	East Asia & Pacific (all income levels)
#F8766D	223041	3.794	3	East Asia & Pacific (all income levels)
#F8766D	229413	3.755	3	East Asia & Pacific (all income levels)
#F8766D	235982	3.715	3	East Asia & Pacific (all income levels)
#F8766D	242758	3.668	3	East Asia & Pacific (all income levels)
#F8766D	249743	3.608	3	East Asia & Pacific (all income levels)
#F8766D	256929	3.532	3	East Asia & Pacific (all income levels)
#F8766D	264332	3.435	3	East Asia & Pacific (all income levels)
#F8766D	271935	3.321	3	East Asia & Pacific (all income levels)
#F8766D	279652	3.197	3	East Asia & Pacific (all income levels)
#F8766D	287370	3.064	3	East Asia & Pacific (all income levels)
#F8766D	295003	2.929	3	East Asia & Pacific (all income levels)
#F8766D	302511	2.798	3	East Asia & Pacific (all income levels)
#F8766D	309904	2.677	3	East Asia & Pacific (all income levels)
#F8766D	317214	2.569	3	East Asia & Pacific (all income levels)
#F8766D	324501	2.477	3	East Asia & Pacific (all income levels)
#F8766D	331801	2.401	3	East Asia & Pacific (all income levels)
#F8766D	339114	2.341	3	East Asia & Pacific (all income levels)
#F8766D	346407	2.292	3	East Asia & Pacific (all income levels)
#F8766D	353649	2.25	3	East Asia & Pacific (all income levels)
#F8766D	360797	2.213	3	East Asia & Pacific (all income levels)
#F8766D	367815	2.179	3	East Asia & Pacific (all income levels)
#F8766D	374697	2.148	3	East Asia & Pacific (all income levels)
#F8766D	381440	2.119	3	East Asia & Pacific (all income levels)
#F8766D	388017	2.092	3	East Asia & Pacific (all income levels)
#F8766D	394400	2.066	3	East Asia & Pacific (all income levels)
#F8766D	400569	2.042	3	East Asia & Pacific (all income levels)
#F8766D	406512	2.017	3	East Asia & Pacific (all income levels)
#F8766D	5720019	6.3	5	East Asia & Pacific (all income levels)
#F8766D	5869843	6.304	5	East Asia & Pacific (all income levels)
#F8766D	6024281	6.31	5	East Asia & Pacific (all income levels)
#F8766D	6178752	6.316	5	East Asia & Pacific (all income levels)
#F8766D	6327099	6.316	5	East Asia & Pacific (all income levels)
#F8766D	6464999	6.306	5	East Asia & Pacific (all income levels)
#F8766D	6586874	6.278	5	East Asia & Pacific (all income levels)
#F8766D	6693369	6.229	5	East Asia & Pacific (all income levels)
#F8766D	6699273	5.862	5	East Asia & Pacific (all income levels)
#F8766D	6761653	6.255	5	East Asia & Pacific (all income levels)
#F8766D	6775751	5.462	5	East Asia & Pacific (all income levels)
#F8766D	6793560	6.155	5	East Asia & Pacific (all income levels)
#F8766D	6900525	6.056	5	East Asia & Pacific (all income levels)
#F8766D	6943097	6.57	5	East Asia & Pacific (all income levels)
#F8766D	6967562	5.129	5	East Asia & Pacific (all income levels)
#F8766D	7021559	5.924	5	East Asia & Pacific (all income levels)
#F8766D	7168725	5.747	5	East Asia & Pacific (all income levels)
#F8766D	7207649	6.758	5	East Asia & Pacific (all income levels)
#F8766D	7214262	4.915	5	East Asia & Pacific (all income levels)
#F8766D	7334436	5.534	5	East Asia & Pacific (all income levels)
#F8766D	7430726	4.839	5	East Asia & Pacific (all income levels)
#F8766D	7483408	5.302	5	East Asia & Pacific (all income levels)
#F8766D	7499331	6.802	5	East Asia & Pacific (all income levels)
#F8766D	7555928	4.901	5	East Asia & Pacific (all income levels)
#F8766D	7567314	5.075	5	East Asia & Pacific (all income levels)
#F8766D	7777235	6.711	5	East Asia & Pacific (all income levels)
#F8766D	8030211	6.523	5	East Asia & Pacific (all income levels)
#F8766D	8271042	6.297	5	East Asia & Pacific (all income levels)
#F8766D	8510817	6.083	5	East Asia & Pacific (all income levels)
#F8766D	8768664	5.896	5	East Asia & Pacific (all income levels)
#F8766D	9057339	5.741	5	East Asia & Pacific (all income levels)
#F8766D	9378185	5.605	5	East Asia & Pacific (all income levels)
#F8766D	9721775	5.464	5	East Asia & Pacific (all income levels)
#F8766D	10077404	5.301	5	East Asia & Pacific (all income levels)
#F8766D	10430268	5.113	5	East Asia & Pacific (all income levels)
#F8766D	10769198	4.903	5	East Asia & Pacific (all income levels)
#F8766D	11090611	4.678	5	East Asia & Pacific (all income levels)
#F8766D	11395958	4.45	5	East Asia & Pacific (all income levels)
#F8766D	11685332	4.227	5	East Asia & Pacific (all income levels)
#F8766D	11960467	4.017	5	East Asia & Pacific (all income levels)
#F8766D	12222871	3.822	5	East Asia & Pacific (all income levels)
#F8766D	12472586	3.643	5	East Asia & Pacific (all income levels)
#F8766D	12709336	3.479	5	East Asia & Pacific (all income levels)
#F8766D	12934369	3.327	5	East Asia & Pacific (all income levels)
#F8766D	13149386	3.188	5	East Asia & Pacific (all income levels)
#F8766D	13356424	3.06	5	East Asia & Pacific (all income levels)
#F8766D	13555054	2.944	5	East Asia & Pacific (all income levels)
#F8766D	13747288	2.84	5	East Asia & Pacific (all income levels)
#F8766D	13940518	2.745	5	East Asia & Pacific (all income levels)
#F8766D	14144225	2.659	5	East Asia & Pacific (all income levels)
#F8766D	14364931	2.581	5	East Asia & Pacific (all income levels)
#F8766D	14605862	2.51	5	East Asia & Pacific (all income levels)
#F8766D	660330000	5.523	7	East Asia & Pacific (all income levels)
#F8766D	665770000	5.602	7	East Asia & Pacific (all income levels)
#F8766D	667070000	5.469	7	East Asia & Pacific (all income levels)
#F8766D	682335000	5.697	7	East Asia & Pacific (all income levels)
#F8766D	698355000	5.793	7	East Asia & Pacific (all income levels)
#F8766D	715185000	5.872	7	East Asia & Pacific (all income levels)
#F8766D	735400000	5.914	7	East Asia & Pacific (all income levels)
#F8766D	754550000	5.906	7	East Asia & Pacific (all income levels)
#F8766D	774510000	5.841	7	East Asia & Pacific (all income levels)
#F8766D	796025000	5.712	7	East Asia & Pacific (all income levels)
#F8766D	818315000	5.512	7	East Asia & Pacific (all income levels)
#F8766D	841105000	5.24	7	East Asia & Pacific (all income levels)
#F8766D	862030000	4.91	7	East Asia & Pacific (all income levels)
#F8766D	881940000	4.544	7	East Asia & Pacific (all income levels)
#F8766D	900350000	4.16	7	East Asia & Pacific (all income levels)
#F8766D	916395000	3.783	7	East Asia & Pacific (all income levels)
#F8766D	930685000	3.439	7	East Asia & Pacific (all income levels)
#F8766D	943455000	3.144	7	East Asia & Pacific (all income levels)
#F8766D	956165000	2.907	7	East Asia & Pacific (all income levels)
#F8766D	969005000	2.736	7	East Asia & Pacific (all income levels)
#F8766D	981235000	2.632	7	East Asia & Pacific (all income levels)
